Date,META,NFLX,NVDA,TSLA
2022-07-25,,,,
2022-07-26,-0.04500450209832396,-0.021051626746449115,-0.02884172034321897,-0.0356637312112531
2022-07-27,0.06553571055336826,0.0600252261141212,0.07602964645040378,0.061655036992220635
2022-07-28,-0.052246730243454054,-0.0032193857884853516,0.010905017286557683,0.02212352234272652
2022-07-29,-0.010079611155321633,-0.0049553595027209685,0.009953329834769375,0.05784976985791013
2022-08-01,0.005216760153520017,0.005824868176678377,0.015305789990863072,0.00042631152414229767
2022-08-02,0.0016257723849966155,-0.021175051512998477,0.00460941117859015,0.011134400598203698
2022-08-03,0.05374867644128356,0.023981562652449107,0.019809873290901114,0.02265568716125621
2022-08-04,0.010485807111734635,0.014025528136963894,0.017043379576752615,0.004023022853486102
2022-08-05,-0.020284965499769325,-0.013614043899597195,-0.011761721307527617,-0.0663030068235908
2022-08-08,0.018790014829632717,0.029588176867384908,-0.06298382095021915,0.007819434052879659
2022-08-09,-0.010102797184746715,-0.015204089974899415,-0.03973465712383517,-0.024412625864385085
2022-08-10,0.058209206845368344,0.06162476306207809,0.05917127396256405,0.03890581776676605
2022-08-11,-0.004766125727153958,-0.00577609953948599,-0.008564963369986578,-0.026249292544206493
2022-08-12,0.016958670424695343,0.027194092239412493,0.0427487739555108,0.046750143628413676
2022-08-15,0.0021606614384954703,-0.000762143758846312,0.017264463978990063,0.03096359891583922
2022-08-16,-0.007850064535002588,-0.013728867410243928,-0.008039070781086677,-0.008912075793144236
2022-08-17,-0.02574243653960895,-0.018478605152053795,-0.02881497271993294,-0.008372333511224461
2022-08-18,-0.0010866596212399937,0.016670140469448036,0.023888683946822642,-0.0037062197211366055
2022-08-19,-0.0383602244804927,-0.016355975595646388,-0.04921966014076562,-0.020481852686155544
2022-08-22,-0.029233171385102064,-0.060623694451675036,-0.04566079675834589,-0.022764022407583906
2022-08-23,-0.01189820548970133,-0.008784277802381335,0.008629677314779594,0.0225584954757323
2022-08-24,0.013344881685428023,0.02253394562380584,0.002386395554307308,0.002170125887066332
2022-08-25,0.03381112616802029,0.01903225079731352,0.04012321047400769,-0.003455684406709514
2022-08-26,-0.041474108606633364,-0.04573039210027996,-0.09227931087133945,-0.026953121859416895
2022-08-29,-0.01613302404527872,0.005777537405833533,-0.02822889142222562,-0.01135058160727187
2022-08-30,-0.012627973424379269,-0.01745564100229524,-0.021074650101659542,-0.0249982267189629
2022-08-31,0.036714105874400715,0.013188324235687832,-0.02417893012514094,-0.007526203685978228
